ticker,company name,short name,industry,exchange
AIF,Apollo Tactical Income Fund Inc.,Apollo Tactical Income Fund,Asset Management,New York Stock Exchange
AIG,American International Group Inc.,American International,Insurance,New York Stock Exchange
AIHS,Senmiao Technology Limited,Senmiao Technology Limited,Credit Services,NASDAQ Capital Market
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion,Industrial Products,Nasdaq Global Select
AIMT,Aimmune Therapeutics Inc.,Aimmune Therapeutics,Biotechnology,Nasdaq Global Select
AIN,Albany International Corporation,Albany International,Homebuilding & Construction,New York Stock Exchange
AINC,Ashford Inc. (Holding Company),Ashford (Holding Company),Asset Management,NYSE American
AINV,Apollo Investment Corporation,Apollo Investment,Asset Management,Nasdaq Global Select
AIPT,Precision Therapeutics Inc.,Precision Therapeutics,Medical Instruments & Equipment,NASDAQ Capital Market
AIR,AAR Corp.,AAR,Aerospace & Defense,New York Stock Exchange
AIRG,Airgain Inc.,Airgain,Communication Equipment,NASDAQ Capital Market
AIRI,Air Industries Group,Air Industries,Aerospace & Defense,NYSE American
AIRT,Air T Inc.,Air T,Transportation & Logistics,NASDAQ Capital Market
AIT,Applied Industrial Technologies Inc.,Applied Industrial,Industrial Distribution,New York Stock Exchange
AIV,Apartment Investment and Management Company,Apartment Investment and Management Company,REITs,New York Stock Exchange
AIZ,Assurant Inc.,Assurant,Insurance,New York Stock Exchange
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Brokers & Exchanges,New York Stock Exchange
AJRD,Aerojet Rocketdyne Holdings Inc.,Aerojet Rocketdyne,Aerospace & Defense,New York Stock Exchange
AJX,Great Ajax Corp.,Great Ajax,REITs,New York Stock Exchange
AKAM,Akamai Technologies Inc.,Akamai,Application Software,Nasdaq Global Select
AKAO,Achaogen Inc.,Achaogen,Biotechnology,NASDAQ Global Market
AKBA,Akebia Therapeutics Inc.,Akebia Therapeutics,Biotechnology,NASDAQ Global Market
